id,person_id,kind,area,area_detail,time_spent,date_done,date_created
1,1,Theoretical,House work,Fair Work System,180,2010-01-01,2010-01-01 08:58:14
2,2,Theoretical,Community work,Visitors,60,2010-01-01,2010-01-01 10:51:32
3,3,Practical (once),Other,,360,2010-02-09,2010-01-01 12:52:16
4,4,Practical (repetitive),House work,House work,120,2010-01-01,2010-01-01 20:10:09
5,5,Practical (repetitive),House technic work,House technic work,60,2010-01-01,2010-01-01 20:51:16
6,7,Practical (repetitive),House technic work,House technic work,30,2010-01-01,2010-01-02 07:25:14
7,8,Meeting,Other,,90,2010-02-28,2010-01-03 10:19:27
8,8,Practical (repetitive),House work,Garden,300,2010-02-30,2010-01-03 10:21:33
9,9,Theoretical,Administration work,Board of Directors,150,2010-01-02,2010-01-03 12:19:30
10,9,Theoretical,Administration work,Board of Directors,120,2010-01-01,2010-01-03 12:20:15
11,10,Theoretical,Administration work,Area Representatives,420,2010-01-01,2010-01-03 15:10:42
12,10,Theoretical,Administration work,Area Representatives,480,2010-01-03,2010-01-03 15:11:21
13,5,Practical (repetitive),House technic work,House technic work,60,2010-01-02,2010-01-03 18:08:29
14,11,Theoretical,Community work,Community work,60,2010-01-03,2010-01-03 19:05:27
15,11,Theoretical,Community work,Area Representatives,120,2010-01-02,2010-01-03 19:07:03
16,7,Practical (repetitive),House technic work,House technic work,30,2010-01-03,2010-01-03 19:22:10
17,7,Meeting,House technic work,Interior planning,60,2010-01-03,2010-01-03 19:24:07
18,7,Practical (once),House work,Garden,90,2010-01-02,2010-01-03 19:25:46
19,13,Practical (repetitive),Communication work,Hotel,90,2010-01-03,2010-01-04 05:51:17
20,13,Practical (repetitive),Communication work,Hotel,30,2010-01-03,2010-01-04 05:52:02
21,17,Theoretical,House work,Garden,90,2010-01-01,2010-01-04 07:44:42
22,17,Theoretical,House work,House work,60,2010-01-04,2010-01-04 07:45:33
23,17,Practical (repetitive),House work,Garden,120,2010-01-02,2010-01-04 07:46:11
24,17,Practical (repetitive),House work,Garden,30,2010-01-03,2010-01-04 07:47:30
25,17,Practical (repetitive),House work,Garden,30,2010-01-03,2010-01-04 07:48:07
26,3,Theoretical,Administration work,Area Representatives,180,2010-01-02,2010-01-04 08:36:52
27,18,Theoretical,Community work,Community work,30,2010-01-04,2010-01-04 09:11:15
28,20,Practical (repetitive),House work,Garden,120,2010-01-03,2010-01-04 12:56:45
29,20,Practical (repetitive),Community work,Cake Day,60,2010-01-03,2010-01-04 12:58:18
30,21,Practical (once),House work,Garden,30,2010-01-03,2010-01-04 13:40:44
31,21,Practical (repetitive),House work,Garden,30,2010-01-03,2010-01-04 13:41:51
32,22,Practical (once),House technic work,Interior planning,120,2010-01-04,2010-01-05 19:57:21
33,10,Theoretical,Administration work,Area Representatives,240,2010-01-05,2010-01-04 18:31:25
34,24,Theoretical,Community work,Community action,30,2010-01-04,2010-01-13 11:09:07
35,24,Practical (once),Community work,Community action,30,2010-01-01,2010-01-13 11:10:25
36,24,Practical (repetitive),Community work,Visitors,30,2010-01-04,2010-01-13 11:09:50
37,7,Meeting,House technic work,Outdoor planning,60,2010-01-04,2010-01-04 21:09:20
38,25,Theoretical,Administration work,Board of Directors,150,2010-01-01,2010-01-04 21:54:28
39,25,Meeting,Administration work,Board of Directors,300,2010-01-03,2010-01-04 22:00:32
40,25,Meeting,Administration work,Board of Directors,240,2010-01-04,2010-01-04 22:02:03
41,25,Practical (once),House work,Cleaning,420,2010-01-03,2010-01-04 22:09:26
42,8,Meeting,House work,Garden,90,2010-01-04,2010-01-04 23:35:09
43,8,Theoretical,House work,Garden,60,2010-01-04,2010-01-04 23:36:04
44,26,Theoretical,House technic work,House technic work,120,2010-01-04,2010-01-05 11:50:43
45,22,Practical (once),House technic work,Interior planning,60,2010-01-05,2010-01-05 19:58:55
46,13,Practical (once),Communication work,Hotel,60,2010-01-05,2010-01-05 21:13:01
47,28,Practical (once),House technic work,House technic work,180,2010-01-02,2010-01-05 21:15:45
48,28,Practical (repetitive),Community work,Movie Night,60,2010-01-04,2010-01-05 21:16:45
49,15,Meeting,Administration work,Supervisory Board,150,2010-01-05,2010-01-06 07:12:51
50,15,Theoretical,Administration work,Supervisory Board,60,2010-01-02,2010-01-06 07:13:36
51,29,Theoretical,Community work,Community building,60,2010-01-01,2010-01-06 07:26:51
52,29,Theoretical,Community work,Community building,60,2010-01-02,2010-01-06 07:28:46
53,29,Theoretical,Community work,Community building,90,2010-01-05,2010-01-06 07:30:18
54,30,Meeting,Community work,Community building,120,2010-01-05,2010-01-06 07:57:57
55,30,Practical (repetitive),Other,,90,2010-01-04,2010-01-06 08:00:08
56,30,Theoretical,Community work,Community building,60,2010-01-03,2010-01-06 08:02:21
57,25,Meeting,Administration work,Board of Directors,240,2010-01-05,2010-01-06 08:13:31
58,2,Theoretical,Community work,Visitors,60,2010-01-06,2010-01-06 08:52:09
59,31,Meeting,Administration work,Supervisory Board,150,2010-01-05,2010-01-06 09:31:28
60,31,Practical (once),House technic work,House technic work,120,2010-01-06,2010-01-06 09:36:11
61,31,Practical (once),House technic work,House technic work,120,2010-01-05,2010-01-06 09:35:55
62,31,Practical (once),House technic work,House technic work,60,2010-01-04,2010-01-06 09:36:50
63,31,Theoretical,House technic work,House technic work,60,2010-01-05,2010-01-06 09:37:58
64,31,Theoretical,House technic work,House technic work,60,2010-01-05,2010-01-06 09:38:58
65,31,Theoretical,House technic work,House technic work,60,2010-01-04,2010-01-06 09:39:44
66,31,Theoretical,Administration work,Supervisory Board,60,2010-01-04,2010-01-06 09:41:01
67,31,Theoretical,Administration work,Supervisory Board,30,2010-01-03,2010-01-06 09:44:31
68,31,Theoretical,House technic work,House technic work,60,2010-01-03,2010-01-06 09:46:45
69,32,Theoretical,House work,Cooking,120,2010-01-06,2010-01-06 14:52:36
70,32,Meeting,House work,Cooking,60,2010-01-06,2010-01-06 16:23:19
71,34,Meeting,House work,Cooking,60,2010-01-06,2010-01-06 19:28:29
72,7,Meeting,House technic work,House technic work,60,2010-01-06,2010-01-07 11:23:22
73,7,Meeting,Community work,Community gathering,180,2010-01-07,2010-01-07 11:24:47
74,7,Practical (once),House technic work,House technic work,30,2010-01-07,2010-01-07 11:25:53
75,11,Meeting,Administration work,Other,180,2010-01-07,2010-01-07 13:44:44
76,11,Meeting,Community work,Community building,120,2010-01-06,2010-01-07 13:45:38
77,11,Theoretical,Community work,Community work,60,2010-01-07,2010-01-07 13:46:15
78,25,Meeting,House technic work,House technic work,60,2010-01-06,2010-01-07 16:40:28
79,25,Meeting,Administration work,Board of Directors,240,2010-01-07,2010-01-07 16:45:37
80,15,Meeting,Community work,Community building,90,2010-01-06,2010-01-08 10:52:22
81,15,Meeting,Community work,Community gathering,120,2010-01-07,2010-01-08 10:53:08
82,15,Meeting,House technic work,Outdoor planning,60,2010-01-04,2010-01-08 10:55:37
83,7,Practical (repetitive),House technic work,House technic work,30,2010-01-08,2010-01-08 11:35:37
84,7,Practical (repetitive),House technic work,Reactivation,60,2010-01-07,2010-01-08 11:37:50
85,13,Practical (repetitive),Communication work,Hotel,150,2010-01-08,2010-01-08 12:44:05
86,9,Meeting,Administration work,Board of Directors,210,2010-01-03,2010-01-08 13:48:59
87,9,Meeting,Administration work,Board of Directors,210,2010-01-04,2010-01-08 13:49:35
88,9,Meeting,Administration work,Board of Directors,240,2010-01-05,2010-01-08 13:50:18
89,9,Theoretical,Administration work,Board of Directors,150,2010-01-06,2010-01-08 13:51:08
90,9,Meeting,Administration work,Board of Directors,150,2010-01-07,2010-01-08 13:51:51
91,9,Meeting,Community work,Visitors,90,2010-01-07,2010-01-08 13:52:22
92,4,Practical (repetitive),House work,Garden,210,2010-01-08,2010-01-21 12:20:58
93,4,Practical (repetitive),House work,Cleaning,30,2010-01-08,2010-01-08 16:37:56
94,17,Meeting,Community work,Community gathering,150,2010-01-07,2010-01-09 08:37:54
95,17,Practical (once),Community work,Other,120,2010-01-08,2010-01-09 08:39:19
96,17,Theoretical,House work,House work,90,2010-01-08,2010-01-09 08:40:21
97,31,Theoretical,House technic work,House technic work,120,2010-01-08,2010-01-09 10:07:47
98,31,Meeting,House technic work,House technic work,60,2010-01-06,2010-01-09 10:08:26
99,31,Meeting,Administration work,Supervisory Board,150,2010-01-07,2010-01-09 10:10:28
100,31,Practical (once),Other,,60,2010-01-08,2010-01-09 10:12:15
101,7,Practical (repetitive),House technic work,House technic work,30,2010-01-11,2010-01-11 20:52:20
102,20,Practical (once),Community work,Community work,150,2010-01-05,2010-01-09 12:08:12
103,20,Practical (once),House work,House work,30,2010-01-06,2010-01-09 12:10:00
104,20,Practical (repetitive),Community work,Visitors,60,2010-01-06,2010-01-09 12:11:14
105,20,Meeting,Community work,Community work,120,2010-01-07,2010-01-09 12:13:12
106,20,Practical (once),Community work,Other,240,2010-01-04,2010-01-09 12:15:10
108,20,Practical (once),Community work,Other,210,2010-01-05,2010-01-09 12:17:46
109,20,Practical (repetitive),Community work,Visitors,150,2010-01-07,2010-01-09 12:19:22
110,20,Practical (once),Community work,Other,150,2010-01-04,2010-01-09 12:21:34
111,21,Practical (once),House work,Garden,60,2010-01-08,2010-01-09 13:09:07
112,21,Practical (once),House work,Garden,30,2010-01-09,2010-01-09 13:09:51
113,21,Practical (repetitive),House work,Cleaning,90,2010-01-06,2010-01-09 13:11:44
115,32,Theoretical,House technic work,Outdoor planning,30,2010-01-09,2010-01-09 18:30:11
116,32,Theoretical,House work,Cooking,60,2010-01-09,2010-01-09 18:30:51
117,23,Practical (repetitive),House technic work,House technic work,180,2010-01-07,2010-01-09 18:33:20
118,32,Meeting,House work,House work,120,2010-01-09,2010-01-09 19:47:01
119,15,Meeting,Administration work,Supervisory Board,120,2010-01-09,2010-01-09 20:55:00
120,32,Theoretical,House work,Cooking,30,2010-01-10,2010-01-10 06:37:03
121,18,Theoretical,Communication work,Hotel,30,2010-01-08,2010-01-10 08:43:52
122,31,Theoretical,Administration work,Supervisory Board,180,2010-01-09,2010-01-10 11:19:41
123,2,Practical (repetitive),House work,Garden,60,2010-01-09,2010-01-10 12:15:03
124,2,Meeting,House work,House work,120,2010-01-09,2010-01-10 12:16:01
125,2,Meeting,Community work,Visitors,180,2010-01-07,2010-01-10 12:43:59
127,2,Theoretical,Community work,Visitors,30,2010-01-10,2010-01-10 12:45:33
128,2,Theoretical,House work,House work,30,2010-01-10,2010-01-10 12:46:33
129,5,Practical (once),House technic work,House technic work,90,2010-01-04,2010-01-10 13:01:15
130,5,Practical (repetitive),Community work,Cake Day,120,2010-01-05,2010-01-10 13:04:07
131,5,Practical (repetitive),Community work,Cake Day,270,2010-01-06,2010-01-10 13:09:48
132,35,Practical (repetitive),House work,House work,120,2010-01-05,2010-01-10 16:17:44
133,35,Practical (repetitive),House work,House work,240,2010-01-06,2010-01-10 16:18:52
134,35,Practical (repetitive),House work,House work,180,2010-01-06,2010-01-10 16:19:41
135,35,Meeting,Community work,Community gathering,150,2010-01-07,2010-01-10 16:21:34
136,35,Practical (repetitive),Other,,60,2010-01-08,2010-01-10 16:23:23
137,35,Meeting,House work,House work,120,2010-01-09,2010-01-10 16:24:46
138,32,Theoretical,House work,Cooking,60,2010-01-10,2010-01-10 18:06:06
139,25,Theoretical,Administration work,Board of Directors,210,2010-01-08,2010-01-10 18:30:51
140,25,Theoretical,Administration work,Board of Directors,120,2010-01-09,2010-01-10 18:34:09
141,1,Practical (once),House technic work,Network,240,2010-01-02,2010-01-10 19:11:13
142,1,Practical (once),House technic work,House technic work,600,2010-01-03,2010-01-10 19:14:25
143,23,Practical (once),House technic work,Interior planning,60,2010-01-10,2010-01-10 19:16:51
144,1,Practical (once),House technic work,Network,120,2010-01-11,2010-01-10 19:18:08
145,1,Theoretical,House technic work,House technic work,60,2010-01-05,2010-01-10 19:24:10
146,1,Theoretical,House technic work,House technic work,180,2010-01-06,2010-01-10 19:23:59
147,1,Meeting,Community work,Community gathering,150,2010-01-06,2010-01-10 19:23:38
148,25,Meeting,Administration work,Board of Directors,210,2010-01-10,2010-01-10 20:46:21
149,24,Practical (repetitive),Community work,Visitors,180,2010-01-07,2010-01-13 11:08:02
150,24,Theoretical,Community work,Visitors,30,2010-01-06,2010-01-13 11:08:18
151,24,Practical (repetitive),Community work,Cake Day,90,2010-01-06,2010-01-13 11:08:38
152,24,Practical (repetitive),Administration work,Other,90,2010-01-02,2010-01-13 11:10:08
153,24,Theoretical,Community work,Trustmangement,120,2010-01-11,2010-01-13 11:07:29
154,34,Meeting,House work,House work,90,2010-01-09,2010-01-11 08:31:41
155,34,Theoretical,House work,Errands,30,2010-01-10,2010-01-11 08:32:37
156,34,Practical (repetitive),Other,,30,2010-01-12,2010-01-11 08:34:16
157,13,Practical (repetitive),Communication work,Hotel,60,2010-01-09,2010-01-11 14:17:58
158,13,Practical (repetitive),Communication work,Hotel,60,2010-01-10,2010-01-11 14:18:44
159,13,Practical (repetitive),Communication work,Hotel,90,2010-01-11,2010-01-11 14:20:27
160,13,Theoretical,Communication work,Hotel,30,2010-01-11,2010-01-11 14:21:14
161,24,Meeting,Community work,Visitors,90,2010-01-11,2010-01-13 11:07:44
162,37,Practical (repetitive),House work,House work,30,2010-01-06,2010-01-11 17:46:10
163,37,Meeting,Community work,Community gathering,150,2010-01-07,2010-01-11 17:47:38
164,37,Practical (repetitive),House work,Cleaning,60,2010-01-08,2010-01-11 17:49:05
165,25,Theoretical,House technic work,House technic work,90,2010-01-11,2010-01-11 18:55:49
166,25,Theoretical,Administration work,Board of Directors,90,2010-01-11,2010-01-11 18:56:45
167,7,Practical (repetitive),House technic work,House technic work,30,2010-01-10,2010-01-11 20:52:45
168,7,Practical (repetitive),House technic work,House technic work,30,2010-01-09,2010-01-11 20:53:15
169,38,Meeting,Community work,Trustmangement,150,2010-01-11,2010-01-11 20:56:20
170,38,Meeting,Community work,Community gathering,150,2010-01-07,2010-01-11 20:57:36
171,38,Meeting,Community work,Community building,30,2010-01-06,2010-01-11 20:59:11
172,29,Meeting,Community work,Community building,90,2010-01-06,2010-01-11 21:03:10
173,29,Theoretical,Community work,Community building,90,2010-01-08,2010-01-11 21:04:22
174,29,Meeting,Community work,Community gathering,150,2010-01-14,2010-01-11 21:05:10
175,29,Meeting,House work,House work,120,2010-01-09,2010-01-11 21:06:22
176,29,Theoretical,House work,Garden,60,2010-01-09,2010-01-11 21:08:49
177,31,Meeting,Administration work,Supervisory Board,90,2010-01-11,2010-01-12 12:06:24
178,31,Theoretical,House technic work,House technic work,60,2010-01-11,2010-01-12 12:08:09
179,31,Theoretical,House technic work,House technic work,120,2010-01-12,2010-01-12 17:49:45
180,40,Practical (repetitive),House work,Cleaning,30,2010-01-09,2010-01-12 13:18:17
181,40,Theoretical,Community work,Community building,60,2010-01-04,2010-01-12 13:22:37
182,40,Theoretical,Community work,Community building,60,2010-01-05,2010-01-12 13:23:56
183,40,Meeting,Community work,Community gathering,180,2010-01-07,2010-01-12 14:51:38
184,40,Practical (repetitive),House work,House work,30,2010-01-09,2010-01-12 14:53:44
185,31,Practical (repetitive),House technic work,House technic work,30,2010-01-11,2010-01-12 17:52:05
186,7,Practical (repetitive),House technic work,House technic work,30,2010-01-12,2010-01-12 19:05:52
187,7,Practical (once),House technic work,Reactivation,30,2010-01-12,2010-01-12 19:06:30
188,7,Practical (once),House technic work,Reactivation,30,2010-01-12,2010-01-12 19:09:58
189,41,Meeting,Community work,Cohabitation,90,2010-01-12,2010-01-12 20:28:03
190,8,Theoretical,House technic work,House technic work,180,2010-01-09,2010-01-12 21:09:31
191,40,Practical (repetitive),House work,Cleaning,60,2010-01-13,2010-01-13 10:16:09
192,7,Practical (repetitive),House technic work,House technic work,30,2010-01-13,2010-01-13 11:35:08
193,13,Practical (repetitive),Communication work,Hotel,240,2010-01-13,2010-01-13 16:22:33
194,13,Practical (repetitive),Communication work,Hotel,30,2010-01-13,2010-01-13 16:23:40
195,25,Practical (once),House technic work,House technic work,270,2010-01-12,2010-01-13 20:50:23
196,25,Theoretical,Administration work,Board of Directors,150,2010-01-13,2010-01-13 20:52:24
197,11,Meeting,Community work,Cohabitation,120,2010-01-12,2010-01-13 21:43:10
198,42,Meeting,Community work,Trustmangement,120,2010-01-11,2010-01-14 07:01:22
199,42,Meeting,Community work,Cohabitation,90,2010-01-19,2010-01-14 07:02:01
200,42,Theoretical,Community work,Other,120,2010-01-10,2010-01-14 07:14:12
201,42,Theoretical,Communication work,Public relations,90,2010-01-10,2010-01-14 07:13:46
202,42,Theoretical,Communication work,Public relations,60,2010-01-12,2010-01-14 07:08:01
203,42,Theoretical,Communication work,Public relations,180,2010-01-04,2010-01-14 07:12:41
204,32,Practical (once),Community work,Other,60,2010-01-14,2010-01-18 13:33:27
205,32,Practical (once),Community work,Other,180,2010-01-13,2010-01-18 13:33:46
206,32,Theoretical,House work,Cooking,60,2010-01-13,2010-01-14 09:26:00
207,14,Theoretical,House technic work,Interior planning,60,2010-02-26,2010-01-14 10:20:30
208,14,Theoretical,House technic work,Interior planning,60,2010-02-27,2010-01-14 10:26:05
209,14,Meeting,House technic work,Interior planning,150,2010-02-28,2010-01-14 10:25:48
210,14,Theoretical,House technic work,Interior planning,60,2010-01-05,2010-01-14 10:22:53
211,14,Theoretical,House technic work,Interior planning,180,2010-01-09,2010-01-14 10:25:16
212,14,Practical (repetitive),House work,House work,180,2010-01-14,2010-01-14 10:28:08
213,32,Theoretical,House work,Cooking,60,2010-01-14,2010-01-14 10:47:25
214,30,Practical (once),House work,Cooking,180,2010-01-14,2010-01-14 15:03:47
215,30,Practical (repetitive),House work,Garden,180,2010-01-13,2010-01-14 15:06:37
216,30,Meeting,Community work,Community gathering,150,2010-01-07,2010-01-14 15:08:54
217,30,Theoretical,Community work,Other,120,2010-01-14,2010-01-14 15:12:02
218,23,Practical (repetitive),House work,Garden,90,2010-01-13,2010-01-14 15:26:19
219,23,Practical (once),House work,House work,270,2010-01-14,2010-01-14 15:29:10
220,13,Practical (repetitive),House work,Cooking,180,2010-01-14,2010-01-14 16:13:16
221,13,Practical (once),Communication work,Hotel,30,2010-01-14,2010-01-14 16:14:38
222,42,Theoretical,Communication work,Public relations,120,2010-01-03,2010-01-14 20:04:02
223,31,Meeting,Administration work,Supervisory Board,90,2010-01-14,2010-01-15 07:00:39
224,31,Practical (once),House technic work,House technic work,30,2010-01-14,2010-01-15 07:01:40
225,31,Theoretical,House technic work,House technic work,30,2010-01-14,2010-01-15 07:04:11
226,31,Practical (once),House work,Garden,60,2010-01-14,2010-01-15 07:05:18
227,21,Practical (once),House work,Garden,60,2010-01-10,2010-01-15 09:39:10
228,21,Practical (once),House work,Garden,90,2010-01-12,2010-01-15 09:40:21
229,21,Practical (once),House technic work,Reactivation,120,2010-01-12,2010-01-15 09:46:33
230,21,Practical (repetitive),Community work,Community action,150,2010-01-14,2010-01-15 09:47:42
231,21,Practical (once),House work,Garden,90,2010-01-14,2010-01-15 09:48:41
232,17,Theoretical,House work,House work,90,2010-01-14,2010-01-15 11:04:42
233,17,Theoretical,House work,Cooking,60,2010-01-14,2010-01-15 11:05:18
234,17,Practical (repetitive),House work,Garden,150,2010-01-15,2010-01-15 15:52:52
235,17,Practical (repetitive),House work,Garden,30,2010-01-15,2010-01-15 15:53:33
236,20,Meeting,House work,House work,120,2010-01-09,2010-01-15 17:49:01
237,20,Practical (once),Community work,Cake Day,90,2010-01-10,2010-01-15 17:51:02
238,20,Practical (repetitive),House work,Cleaning,30,2010-01-10,2010-01-15 17:52:15
239,20,Theoretical,Community work,Visitors,90,2010-01-11,2010-01-15 17:56:27
240,20,Theoretical,House work,House work,30,2010-01-10,2010-01-15 17:57:55
241,20,Theoretical,Community work,Visitors,30,2010-01-10,2010-01-15 17:58:56
